flight_id,date,origin,destination,airline_code,GCD,actual_distance,TIM,TIM_actual_distance
547452408,20190524,HEL,NRT,AY71,7831.487310198503,8084.596633400844,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2363.6810659388893, 1890.9448527511115, 709.1043197816668, 472.7362131877779]"
547460183,20190524,HEL,NRT,JL414,7831.487310198503,8027.558372544789,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2347.9930757094867, 1878.3944605675895, 704.3979227128461, 469.59861514189737]"
547462364,20190524,HEL,NRT,AY73,7831.487310198503,8092.197021575375,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2365.7715016154366, 1892.6172012923491, 709.7314504846308, 473.1543003230873]"
536210456,20190328,HEL,NRT,JL414,7831.487310198503,8085.370086361501,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2363.8937989764604, 1891.1150391811682, 709.1681396929381, 472.77875979529205]"
536213637,20190328,HEL,NRT,AY73,7831.487310198503,8224.533266152772,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2402.169696103962, 1921.7357568831696, 720.6509088311886, 480.4339392207924]"
531005060,20190228,HEL,NRT,JL414,7831.487310198503,7615.903321737502,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2234.7701211869676, 1787.816096949574, 670.4310363560902, 446.9540242373935]"
531006842,20190228,HEL,NRT,AY73,7831.487310198503,7404.228600484953,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2176.51410849912, 1741.2112867992962, 652.9542325497362, 435.30282169982405]"
520861768,20190101,HEL,NRT,JL414,7831.487310198503,8032.342517602309,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2349.308922647875, 1879.4471381183, 704.7926767943626, 469.861784529575]"
520862415,20190101,HEL,NRT,AY73,7831.487310198503,8062.0636789905,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2357.483528297951, 1885.9868226383608, 707.2450584893852, 471.4967056595902]"
526043978,20190131,HEL,NRT,JL414,7831.487310198503,8155.338917169321,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2383.138255550021, 1906.5106044400166, 714.9414766650062, 476.62765111000414]"
526049209,20190131,HEL,NRT,AY73,7831.487310198503,8260.973588448478,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2412.1923617945235, 1929.7538894356187, 723.657708538357, 482.4384723589047]"
541863113,20190426,HEL,NRT,AY71,7831.487310198503,8220.28669370671,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2401.0017048987183, 1920.8013639189749, 720.3005114696156, 480.2003409797437]"
541868441,20190426,HEL,NRT,AY7211,7831.487310198503,8217.230612668332,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2400.1611503525105, 1920.1289202820085, 720.0483451057531, 480.0322300705021]"
541869175,20190426,HEL,NRT,JL414,7831.487310198503,8073.497342241765,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2360.62828051655, 1888.5026244132403, 708.1884841549652, 472.12565610331006]"
541872258,20190426,HEL,NRT,AY73,7831.487310198503,8239.33836567966,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2406.2417392069115, 1924.993391365529, 721.8725217620733, 481.24834784138227]"
547673486,20190525,HEL,NRT,JL414,7831.487310198503,8004.463972980529,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2341.6411163530765, 1873.3128930824612, 702.4923349059229, 468.3282232706153]"
547678343,20190525,HEL,NRT,AY73,7831.487310198503,8019.6117457078135,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2345.807409416299, 1876.645927533039, 703.7422228248897, 469.16148188325974]"
547682344,20190525,HEL,NRT,AY71,7831.487310198503,8100.192556388403,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2367.9706197186715, 1894.3764957749374, 710.3911859156016, 473.59412394373436]"
521026528,20190102,HEL,NRT,JL414,7831.487310198503,8035.766328119364,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2350.250618715264, 1880.2004949722113, 705.0751856145793, 470.05012374305284]"
521027967,20190102,HEL,NRT,AY73,7831.487310198503,8022.358783463281,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2346.562963684973, 1877.2503709479786, 703.968889105492, 469.31259273699465]"
531196777,20190301,HEL,NRT,AY73,7831.487310198503,8119.192775761666,"[2294.0650480278637, 1835.252038422291, 688.2195144083591, 458.81300960557274]","[2373.1965023351927, 1898.5572018681542, 711.9589507005578, 474.63930046703854]"
