,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,rolling_geta_7D,rolling_zeta_1_7D,rolling_zeta_2_7D,post_footprint_first_7D,post_footprint_business_7D,post_footprint_premium_economy_7D,post_footprint_economy_7D,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
4,520869040,2019-01-01,SIN,ZRH,LX177,10308.666419056575,10944.417588780612,24.404123,25.97757096616436,1.061671524121567,1.061671524121567,1.0644746777486886,0.5152978379317332,,,,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,,,,,,,,,,,,2662.6594337133124,2180.585013328162,1075.216738878611,832.9309749041838
5,520878492,2019-01-01,SIN,ZRH,SQ346,10308.666419056575,10587.43553701543,24.404123,30.53181731957672,1.0270422095959493,1.0270422095959493,1.2510925846250127,-0.14458117524876177,,,,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,,,,,,,,,,,,2576.714674677488,2110.266574117032,1040.8876675137333,806.4394795763799
15,521035833,2019-01-02,SIN,ZRH,LX177,10308.666419056575,10849.240210397513,24.404123,25.66325921171472,1.0524387703865974,1.0524387703865974,1.0515952247788096,0.33936306974383884,1.061671524121567,1.061671524121567,1.0644746777486886,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2662.6594337133124,2180.585013328162,1075.216738878611,832.9309749041838,1.061671524121567,1.061671524121567,1.0644746777486886,2662.6594337133124,2180.585013328162,1075.216738878611,832.9309749041838,2639.7451252478054,2161.836942765474,1066.0640349858545,825.8678997095601
16,521041312,2019-01-02,SIN,ZRH,SQ346,10308.666419056575,10673.935879360306,24.404123,26.88665462824033,1.035433240872795,1.035433240872795,1.1017259103406556,0.015314147958854484,1.0270422095959493,1.0270422095959493,1.2510925846250127,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2576.714674677488,2110.266574117032,1040.8876675137333,806.4394795763799,1.0270422095959493,1.0270422095959493,1.2510925846250127,2576.714674677488,2110.266574117032,1040.8876675137333,806.4394795763799,2597.539954387171,2127.305439334046,1049.2059468523169,812.8586353959839
28,521220631,2019-01-03,SIN,ZRH,SQ346,10308.666419056575,10624.857697712268,24.404123,29.82808724856509,1.0306723746605264,1.0306723746605264,1.222256060935486,-0.07540655330458866,1.031237725234372,1.031237725234372,1.1764092474828343,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2587.127314532329,2118.7860067255388,1045.046807183025,809.6490574861817,1.031237725234372,1.031237725234372,1.1764092474828343,2587.127314532329,2118.7860067255388,1045.046807183025,809.6490574861817,2585.724199295844,2117.638003350233,1044.4863583129973,809.2165631590266
27,521207977,2019-01-03,SIN,ZRH,LX177,10308.666419056575,10725.577882620631,24.404123,27.184964862264643,1.0404428125439538,1.0404428125439538,1.113949674088458,0.11077405688588135,1.0570551472540823,1.0570551472540823,1.0580349512637492,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2651.2022794805594,2171.210978046818,1070.6403869322328,829.3994373068721,1.0570551472540823,1.0570551472540823,1.0580349512637492,2651.2022794805594,2171.210978046818,1070.6403869322328,829.3994373068721,2609.9729590841575,2137.477897722489,1054.1720845238974,816.6909678096856
38,521386588,2019-01-04,SIN,ZRH,LX177,10308.666419056575,10658.141660319572,24.404123,27.069769071567976,1.033901110682654,1.033901110682654,1.1092293327470926,-0.013881363756708391,1.051517702350706,1.051517702350706,1.0766731922053188,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2637.4591726817584,2159.966617938708,1065.150952796121,825.1632808078099,1.051517702350706,1.051517702350706,1.0766731922053188,2637.4591726817584,2159.966617938708,1065.150952796121,825.1632808078099,2593.7374373057028,2124.1942889946627,1047.6871005407986,811.6865527160427
41,521412061,2019-01-04,SIN,ZRH,SQ346,10308.666419056575,10607.470425750294,24.404123,28.30817355524231,1.0289857091642185,1.0289857091642185,1.159975040088198,-0.10754681303875414,1.0310492750430902,1.0310492750430902,1.191691518633718,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2586.6596094535007,2118.40333893377,1044.8599908930157,809.5048927104634,1.0310492750430902,1.0310492750430902,1.191691518633718,2586.6596094535007,2118.40333893377,1044.8599908930157,809.5048927104634,2581.5381487880586,2114.213052934772,1042.8143165476715,807.9262606587574
49,521564520,2019-01-05,SIN,ZRH,LX177,10308.666419056575,10636.390060387885,24.404123,26.99079787788468,1.0317910802434618,1.0317910802434618,1.1059933552164394,-0.054089055507722,1.0471135544336931,1.0471135544336931,1.084812227340762,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2626.5287388377446,2151.0235357026972,1060.7849897322906,821.7940987848682,1.0471135544336931,1.0471135544336931,1.084812227340762,2626.5287388377446,2151.0235357026972,1060.7849897322906,821.7940987848682,2588.5006585782326,2119.9096518540055,1045.5953644922695,810.0723751821492
50,521577481,2019-01-05,SIN,ZRH,SQ346,10308.666419056575,10651.308723127358,24.404123,28.81457687910575,1.0332382764309236,1.0332382764309236,1.1807257683099597,-0.0265120039505973,1.0305333835733723,1.0305333835733723,1.183762398997338,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2585.3792442871404,2117.355767434021,1044.3485723066797,809.110234697537,1.0305333835733723,1.0305333835733723,1.183762398997338,2585.3792442871404,2117.355767434021,1044.3485723066797,809.110234697537,2592.092382217953,2122.8483348319583,1047.0300131960896,811.1794831790517
63,521740584,2019-01-06,SIN,ZRH,SQ346,10308.666419056575,10908.227833590205,24.404123,26.13832525638127,1.0581609094873103,1.0581609094873103,1.0710618552603293,0.44840130959310864,1.0310743621448826,1.0310743621448826,1.1831550728598625,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2586.721871873303,2118.4542809136083,1044.8848604845616,809.5240843938399,1.0310743621448826,1.0310743621448826,1.1831550728598625,2586.721871873303,2118.4542809136083,1044.8848604845616,809.5240843938399,2653.9466153124276,2173.456343727438,1071.7365619832576,830.2453476414111
60,521728594,2019-01-06,SIN,ZRH,LX177,10308.666419056575,10902.315269224764,24.404123,25.465062864107253,1.0575873566992884,1.0575873566992884,1.0434737959691178,0.43747197261512655,1.0440490595956469,1.0440490595956469,1.0890484529158977,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2618.923122785842,2144.8007589329586,1057.7470646842862,819.4497540643243,1.0440490595956469,1.0440490595956469,1.0890484529158977,2618.923122785842,2144.8007589329586,1057.7470646842862,819.4497540643243,2652.5231434119255,2172.291684899754,1071.1679820139093,829.8065786038983
72,521911155,2019-01-07,SIN,ZRH,SQ346,10308.666419056575,10977.926921527884,24.404123,33.77103517713618,1.0649221223449536,1.0649221223449536,1.383824986340881,0.577239622725304,1.0355887867019538,1.0355887867019538,1.164472869926607,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2597.9259957798236,2127.62129138258,1049.3601440676775,812.977628268435,1.0355887867019538,1.0355887867019538,1.164472869926607,2597.9259957798236,2127.62129138258,1049.3601440676775,812.977628268435,2670.726930424071,2187.1856924551457,1078.4391537579652,835.4176890891761
82,522088117,2019-01-08,SIN,ZRH,SQ346,10308.666419056575,10896.065275155115,24.404123,26.728603189918207,1.056981071287036,1.056981071287036,1.0952494867329676,0.42591889901192836,1.0397792632223823,1.0397792632223823,1.1958088865572176,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2608.3261293004302,2136.1304915358037,1053.5142883091473,816.1833512428266,1.0397792632223823,1.0397792632223823,1.1958088865572176,2608.3261293004302,2136.1304915358037,1053.5142883091473,816.1833512428266,2651.0184340529104,2171.06055906056,1070.5669532188026,829.3427690429519
81,522079357,2019-01-08,SIN,ZRH,LX177,10308.666419056575,10881.471181818342,24.404123,25.98584540208456,1.0555653602005086,1.0555653602005086,1.064813736682304,0.3989418118958837,1.0463054424462537,1.0463054424462537,1.081452676758101,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2624.5231262235225,2149.3825799274246,1059.9838842392232,821.1758914875866,1.0463054424462537,1.0463054424462537,1.081452676758101,2624.5231262235225,2149.3825799274246,1059.9838842392232,821.1758914875866,2647.5048517061987,2168.185809867796,1069.1635166337242,828.2597472116502
92,522255829,2019-01-09,SIN,ZRH,LX177,10308.666419056575,10888.81747455697,24.404123,26.096003929051417,1.056277992896145,1.056277992896145,1.069327667667116,0.41252138649614867,1.0476282878397187,1.0476282878397187,1.0790756853187013,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2627.806229863905,2152.068755633192,1061.2952602955806,822.1878708767385,1.0476282878397187,1.0476282878397187,1.0790756853187013,2627.806229863905,2152.068755633192,1061.2952602955806,822.1878708767385,2649.2734990544504,2169.632884970911,1069.8699706597588,828.8049126584834
93,522262019,2019-01-09,SIN,ZRH,SQ346,10308.666419056575,10668.181818522113,24.404123,27.059995500557108,1.03487506383958,1.03487506383958,1.1088288442308338,0.004677803725545249,1.041929489230464,1.041929489230464,1.1832389615791863,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2613.66266739449,2140.496749976398,1055.645871422854,817.8282784678422,1.041929489230464,1.041929489230464,1.1832389615791863,2613.66266739449,2140.496749976398,1055.645871422854,817.8282784678422,2596.1546428014185,2126.172002582067,1048.6526093268717,812.4316288418529
106,522443739,2019-01-10,SIN,ZRH,SQ346,10308.666419056575,10712.554877617262,24.404123,27.38450371851977,1.0391795060721003,1.0391795060721003,1.1221261144487664,0.08670111638992332,1.0411456641870325,1.0411456641870325,1.1749711707627026,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2611.7173313285934,2138.905111377028,1054.8688423010783,817.2286507316212,1.042908596010918,1.042908596010918,1.1654559940299138,2616.0926634099815,2142.484928534527,1056.6164891494964,818.5772971260263,2606.8376221074022,2134.9126220142352,1052.9197311746595,815.7245358154303
102,522432724,2019-01-10,SIN,ZRH,LX177,10308.666419056575,10939.119205778688,24.404123,25.93155153951772,1.0611575504622652,1.0611575504622652,1.0625889543138969,0.5055038112307447,1.048709500971772,1.048709500971772,1.0778571831122532,2509.5999708677778,2055.3545437272696,1014.0799193442867,785.7521347941255,2630.489638512723,2154.2642718004067,1062.3670990911028,823.0150010994566,1.046857783378944,1.046857783378944,1.0797689695927626,2625.8939534840674,2150.50416586787,1060.531436264316,821.598433413067,2661.383828264444,2179.541336142724,1074.7072214748869,832.5377840200865
