flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2
785418992,20230111,FRA,ICN,LH8408,8546.290590793822,10194.321603357135,43.749671,42.58829084340768,1.1928358268485035,1.1928358268485035,0.9734539682231593
785445754,20230111,FRA,ICN,OZ796,8546.290590793822,10159.344491875843,43.749671,42.41987886487221,1.1887431610176729,1.1887431610176729,0.9696045226230893
785492939,20230111,FRA,ICN,OZ542,8546.290590793822,10181.149720638423,43.749671,42.56756113410827,1.1912945871049239,1.1912945871049239,0.972980142733148
785604325,20230112,FRA,ICN,LH8406,8546.290590793822,10143.56736697743,43.749671,42.49832180903851,1.1868970823323297,1.1868970823323297,0.971397517687356
785635854,20230112,FRA,ICN,OZ776,8546.290590793822,10187.242487822994,43.749671,42.41031088425426,1.1920075007508903,1.1920075007508903,0.9693858242786387
785681689,20230112,FRA,ICN,OZ542,8546.290590793822,10163.143805586742,43.749671,42.50415525223939,1.1891877180650299,1.1891877180650299,0.9715308545346408
785701594,20230112,FRA,ICN,KE946,8546.290590793822,10212.931169593665,43.749671,42.41329538668021,1.1950133290102691,1.1950133290102691,0.9694540419899434
785702092,20230112,FRA,ICN,KE538,8546.290590793822,10213.638165133907,43.749671,42.36147913437947,1.1950960544374858,1.1950960544374858,0.9682696616022431
792567815,20230218,FRA,ICN,LH712,8546.290590793822,10265.364476534252,43.749671,42.88921027008761,1.2011485412855303,1.2011485412855303,0.9803321782714117
807655683,20230503,FRA,ICN,OZ542,8546.290590793822,10097.306084235935,43.749671,42.55097751774178,1.1814840575527454,1.1814840575527454,0.972601085794263
785795152,20230113,FRA,ICN,LH8440,8546.290590793822,10181.862957295672,43.749671,42.533537965006346,1.191378042804174,1.191378042804174,0.972202464448392
792571828,20230218,FRA,ICN,OZ5423,8546.290590793822,10289.411188812106,43.749671,42.94132563328214,1.203962242975449,1.203962242975449,0.9815233955309548
792582305,20230218,FRA,ICN,LH8408,8546.290590793822,10585.933080921972,43.749671,42.45788301283215,1.238658218844709,1.238658218844709,0.9704731953945928
792597601,20230218,FRA,ICN,OZ796,8546.290590793822,10233.727743115507,43.749671,42.36344207903691,1.197446732520354,1.197446732520354,0.9683145292461035
792631380,20230218,FRA,ICN,OZ542,8546.290590793822,10194.438527403314,43.749671,42.4125205783307,1.1928495081111445,1.1928495081111445,0.9694363319516323
792648733,20230218,FRA,ICN,KE530,8546.290590793822,10515.538932935493,43.749671,42.271599836923464,1.2304214116312604,1.2304214116312604,0.9662152622113082
799970700,20230328,FRA,ICN,LH8390,8546.290590793822,10240.436002634147,43.749671,42.44359924598347,1.1982316648190363,1.1982316648190363,0.9701467068400005
799992457,20230328,FRA,ICN,OZ794,8546.290590793822,10213.80399758193,43.749671,42.4637532515728,1.19511545846386,1.19511545846386,0.9706073732891111
799994865,20230328,FRA,ICN,OZ5423,8546.290590793822,10233.224384738141,43.749671,42.95129220340041,1.1973878346427287,1.1973878346427287,0.9817512045610678
792658437,20230218,FRA,ICN,KE946,8546.290590793822,10233.787908673294,43.749671,42.36961102132885,1.1974537724819778,1.1974537724819778,0.968455534701709
792675328,20230218,FRA,ICN,KE544,8546.290590793822,10475.52662320374,43.749671,42.0870133270434,1.2257395781145233,1.2257395781145233,0.9619961102574555
785841286,20230113,FRA,ICN,LH712,8546.290590793822,10303.644114207438,43.749671,42.85558226880118,1.2056276351411057,1.2056276351411057,0.9795635324617911
785842389,20230113,FRA,ICN,OZ794,8546.290590793822,10165.558056771486,43.749671,42.4212528830994,1.1894702091831466,1.1894702091831466,0.9696359289901723
785864820,20230113,FRA,ICN,OZ542,8546.290590793822,10168.512089486045,43.749671,42.506852227739635,1.1898158600457258,1.1898158600457258,0.9715925001525071
785873497,20230113,FRA,ICN,KE544,8546.290590793822,10173.090215760003,43.749671,42.42573650983333,1.1903515458178535,1.1903515458178535,0.969738412657625
800031879,20230328,FRA,ICN,LH712,8546.290590793822,10168.92465382403,43.749671,43.74251925538353,1.1898641341283351,1.1898641341283351,0.9998365303223316
800042830,20230328,FRA,ICN,OZ542,8546.290590793822,10135.924019288772,43.749671,42.546491187844616,1.1860027355268405,1.1860027355268405,0.9724985403397575
800073270,20230328,FRA,ICN,KE946,8546.290590793822,10169.304858058229,43.749671,42.33934335720614,1.1899086217607366,1.1899086217607366,0.967763697176286
800088083,20230328,FRA,ICN,KE518,8546.290590793822,10187.671404239945,43.749671,42.39759539269953,1.1920576881874623,1.1920576881874623,0.9690951822860457
785884659,20230113,FRA,ICN,KE946,8546.290590793822,10167.282062467766,43.749671,42.41631549377683,1.1896719347947398,1.1896719347947398,0.9695230735284118
807829227,20230504,FRA,ICN,OZ776,8546.290590793822,10137.54197338675,43.749671,42.55250544963397,1.1861920520590588,1.1861920520590588,0.9726360102144304
807858545,20230504,FRA,ICN,LH712,8546.290590793822,10253.901769779168,43.749671,43.574575897794766,1.199807291929063,1.199807291929063,0.995997796138736
792745498,20230219,FRA,ICN,LH8440,8546.290590793822,10162.321660460426,43.749671,42.472400931135205,1.1890915190044455,1.1890915190044455,0.9708050360226755
792785805,20230219,FRA,ICN,OZ776,8546.290590793822,10239.035253308368,43.749671,42.31035913610664,1.1980677633800556,1.1980677633800556,0.9671011957120007
807894055,20230504,FRA,ICN,OZ542,8546.290590793822,10123.779905407186,43.749671,42.455770172396534,1.184581754839071,1.184581754839071,0.9704249015357518
807910346,20230504,FRA,ICN,KE946,8546.290590793822,10161.105445881898,43.749671,42.50241575102779,1.188949209944672,1.188949209944672,0.9714910942079493
