,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
9,520869201,2019-01-01,FRA,ICN,OZ542,8546.290590793822,8953.660747558111,43.749671,52.51526674705899,1.0476663123534689,1.0476663123534689,1.2003579809105076,0.008977012666475456,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8507.17323840857,6961.90820417098,3407.8790471925313,2632.336740957741
16,520884068,2019-01-01,FRA,ICN,OZ796,8546.290590793822,9065.08793582602,43.749671,52.19545018367965,1.060704388590654,1.060704388590654,1.193047833060954,0.22088667781695343,1.0476663123534689,1.0476663123534689,1.2003579809105076,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8507.17323840857,6961.90820417098,3407.8790471925313,2632.336740957741,8549.494772281623,6996.534913703479,3424.7836144156886,2645.381872847588
15,520882051,2019-01-01,FRA,ICN,KE906,8546.290590793822,9012.18005738492,43.749671,52.49180415285682,1.0545136467853036,1.0545136467853036,1.1998216890101143,0.12026769084835848,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8557.926529226846,7003.433623931388,3428.151526422786,2647.9808661105335
10,520870041,2019-01-01,FRA,ICN,LH712,8546.290590793822,8970.01450945502,43.749671,51.43839556456847,1.0495798632353597,1.0495798632353597,1.1757435973534172,0.04007822110038488,,,,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,,,,,8320.432072780333,6809.119977747878,3333.2886838762533,2574.7758987115376
40,521047606,2019-01-02,FRA,ICN,KE906,8546.290590793822,9007.500161604356,43.749671,52.28270001234297,1.053966052980618,1.053966052980618,1.1950421298560845,0.11136757263471359,1.0545136467853036,1.0545136467853036,1.1998216890101143,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8557.926529226846,7003.433623931388,3428.151526422786,2647.9808661105335,8512.268214897631,6966.076821298394,3409.914142915151,2633.907209563034
39,521031293,2019-01-02,FRA,ICN,OZ542,8546.290590793822,8947.912730458585,43.749671,53.27419823265575,1.0469937378559766,1.0469937378559766,1.217705116746038,-0.0019544341175097573,1.0541853504720615,1.0541853504720615,1.1967029069857307,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8528.257462291518,6979.158932802482,3416.3007570730497,2638.8357133762065,8658.598887526383,7085.801917085555,3468.3632695390224,2679.0119765522945
38,521031168,2019-01-02,FRA,ICN,LH712,8546.290590793822,9003.659051251469,43.749671,51.466775453286814,1.0535166053153318,1.0535166053153318,1.1763922854022564,0.10406263726535606,1.0495798632353597,1.0495798632353597,1.1757435973534172,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8320.432072780333,6809.119977747878,3333.2886838762533,2574.7758987115376,8356.590144409873,6838.703854535683,3347.731368169189,2585.9212134041654
70,521232217,2019-01-03,FRA,ICN,OZ794,8546.290590793822,8988.71143959796,43.749671,51.68934948395548,1.0517675878328687,1.0517675878328687,1.181479730075124,0.07563561303964936,1.0524344963505832,1.0524344963505832,1.197931345325295,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8524.709232018817,6976.255835306637,3414.883481003897,2637.7420117154447,8382.807983472296,6860.154813768575,3358.2036072946903,2594.002564365168
64,521225915,2019-01-03,FRA,ICN,KE906,8546.290590793822,8979.235827575887,43.749671,52.34507236219407,1.0506588480911754,1.0506588480911754,1.1964677942879631,0.057615111922223676,1.0541837360696353,1.0541837360696353,1.1975831317637138,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8535.828189233465,6985.353163936803,3419.3247463004295,2641.1693039250736,8497.79749394717,6954.237140520743,3404.1340765355067,2629.446774270065
63,521212059,2019-01-03,FRA,ICN,LH712,8546.290590793822,8978.963086893635,43.749671,51.56231019047885,1.0506269347506032,1.0506269347506032,1.178575952959254,0.05709641996250158,1.0515482342753457,1.0515482342753457,1.1760679413778368,7135.502619804189,5839.632243494669,2859.9901580568044,2209.5348599390613,8338.50435896146,6823.906393714253,3340.507330004282,2580.3464755599807,8350.785279154501,6833.954419326742,3345.412720285935,2584.131929653575
