flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2
535978777,20190328,LHR,ICN,BA17,8863.736032710949,10.077196064064301,44.4698505,37.45066466666667,0.0011369016436043639,0.0011369016436043639,0.8421585466464896
525894843,20190130,LHR,ICN,KE908,8863.736032710949,9422.32363440411,44.4698505,52.99130622571084,1.0630194310425916,1.0630194310425916,1.1916232150524284
525905452,20190130,LHR,ICN,OZ522,8863.736032710949,9349.785396854564,44.4698505,52.57662898052343,1.0548357219066415,1.0548357219066415,1.1822983074909017
541706941,20190425,LHR,ICN,KE908,8863.736032710949,9332.634866065146,44.4698505,53.30642769715358,1.052900811985348,1.052900811985348,1.1987093974411624
541719210,20190425,LHR,ICN,OZ522,8863.736032710949,9364.644599204927,44.4698505,52.66403873340451,1.0565121258852264,1.0565121258852264,1.1842639033248945
547423464,20190524,LHR,ICN,BA17,8863.736032710949,9351.758464432212,44.4698505,52.25656130298188,1.0550583218995075,1.0550583218995075,1.17510089904579
520846584,20190101,LHR,ICN,BA17,8863.736032710949,9391.730195730684,44.4698505,52.80164621325238,1.0595679024139724,1.0595679024139724,1.1873583027505878
547509082,20190524,LHR,ICN,KE908,8863.736032710949,9364.490949128989,44.4698505,52.71100847952098,1.0564947911997877,1.0564947911997877,1.185320118841438
547520205,20190524,LHR,ICN,OZ522,8863.736032710949,9322.474863151836,44.4698505,52.68267960647207,1.0517545681355973,1.0517545681355973,1.1846830833504167
526020138,20190131,LHR,ICN,BA17,8863.736032710949,9390.007203560262,44.4698505,52.52114871152547,1.0593735157395425,1.0593735157395425,1.181050714607765
536182024,20190328,LHR,ICN,BA17,8863.736032710949,9376.867026042404,44.4698505,54.42321731794105,1.0578910508433221,1.0578910508433221,1.2238228081729452
530979582,20190228,LHR,ICN,BA17,8863.736032710949,9406.807953945998,44.4698505,52.72530684967303,1.0612689637000563,1.0612689637000563,1.185641648371924
520884831,20190101,LHR,ICN,KE908,8863.736032710949,9374.71029581167,44.4698505,52.79559368574367,1.057647730168747,1.057647730168747,1.1872221986836602
520894024,20190101,LHR,ICN,OZ522,8863.736032710949,9342.361266071164,44.4698505,52.601423372601865,1.0539981370828153,1.0539981370828153,1.1828558625939583
541836745,20190426,LHR,ICN,BA17,8863.736032710949,9379.37395818834,44.4698505,52.973763360541035,1.0581738810332875,1.0581738810332875,1.1912287260902987
536246898,20190328,LHR,ICN,KE908,8863.736032710949,9361.59965503651,44.4698505,53.32446100929544,1.056168597585514,1.056168597585514,1.1991149151557288
536260345,20190328,LHR,ICN,OZ522,8863.736032710949,9322.71701932993,44.4698505,54.28567502328793,1.0517818880125882,1.0517818880125882,1.2207298745762127
531037236,20190228,LHR,ICN,KE908,8863.736032710949,9416.022053427176,44.4698505,53.01555769827811,1.0623084914395078,1.0623084914395078,1.192168561445425
531051004,20190228,LHR,ICN,OZ522,8863.736032710949,9373.136673328603,44.4698505,52.54863938322347,1.057470195269551,1.057470195269551,1.1816689013430226
541916914,20190426,LHR,ICN,KE908,8863.736032710949,9356.543425229962,44.4698505,53.26977993647767,1.055598157560237,1.055598157560237,1.1978852939134048
541923449,20190426,LHR,ICN,OZ522,8863.736032710949,9321.530997694466,44.4698505,52.77056941615163,1.0516480819480702,1.0516480819480702,1.1866594742915006
526077497,20190131,LHR,ICN,KE908,8863.736032710949,9214.608932959369,44.4698505,52.7958515463282,1.0395852154163379,1.0395852154163379,1.1872279972321518
526088263,20190131,LHR,ICN,OZ522,8863.736032710949,9465.35667791099,44.4698505,51.840130512198485,1.0678743864866693,1.0678743864866693,1.1657365592492488
547643122,20190525,LHR,ICN,BA17,8863.736032710949,9350.06480041629,44.4698505,52.56379744946411,1.0548672440053022,1.0548672440053022,1.1820097629845667
520998295,20190102,LHR,ICN,BA17,8863.736032710949,9396.33714224505,44.4698505,52.83127442537674,1.0600876546377933,1.0600876546377933,1.1880245566684948
547715748,20190525,LHR,ICN,KE908,8863.736032710949,9259.112521071012,44.4698505,53.179480584665235,1.044606076591288,1.044606076591288,1.1958547192477123
547726308,20190525,LHR,ICN,OZ522,8863.736032710949,9405.393703990887,44.4698505,52.37357590574354,1.0611094090890107,1.0611094090890107,1.177732223447514
531171251,20190301,LHR,ICN,BA17,8863.736032710949,9436.905000118655,44.4698505,52.648067777850954,1.0646644897019122,1.0646644897019122,1.1839047621230694
536386769,20190329,LHR,ICN,BA17,8863.736032710949,9430.10954990743,44.4698505,53.78625038396068,1.0638978321450823,1.0638978321450823,1.209499240029167
521049880,20190102,LHR,ICN,KE908,8863.736032710949,9409.230715473972,44.4698505,52.879797809428425,1.0615422978245195,1.0615422978245195,1.1891157090673923
521061168,20190102,LHR,ICN,OZ522,8863.736032710949,9346.591368354511,44.4698505,52.890033235752476,1.0544753740253119,1.0544753740253119,1.1893458745887278
526207296,20190201,LHR,ICN,BA17,8863.736032710949,9441.24593099768,44.4698505,52.45065059095802,1.065154230242809,1.065154230242809,1.1794654131108
542033111,20190427,LHR,ICN,BA17,8863.736032710949,9365.869248523253,44.4698505,52.04539192041858,1.0566502898957302,1.0566502898957302,1.1703523024080906
531229397,20190301,LHR,ICN,KE908,8863.736032710949,9379.205381412681,44.4698505,53.09049695586537,1.0581548623288681,1.0581548623288681,1.1938537314368838
531242485,20190301,LHR,ICN,OZ522,8863.736032710949,9413.872287310865,44.4698505,52.43933288847184,1.0620659564510586,1.0620659564510586,1.1792109102879003
