,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,rolling_geta,rolling_zeta_1,rolling_zeta_2,pre_footprint_first,pre_footprint_business,pre_footprint_premium_economy,pre_footprint_economy,post_footprint_first,post_footprint_business,post_footprint_premium_economy,post_footprint_economy,actual_footprint_first,actual_footprint_business,actual_footprint_premium_economy,actual_footprint_economy
623,783653464,2023-01-01,ICN,FRA,OZ541,8546.290590793822,10268.884450539948,43.749671,43.39329674699692,1.2015604128417685,1.2015604128417685,0.9918542415323972,,,,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,,,,,8533.841872558913,6983.7279957485325,3418.531348219629,2640.557044381924
624,783664760,2023-01-01,ICN,FRA,KE945,8546.290590793822,10237.95710934679,43.749671,43.50511192606435,1.1979416099395512,1.1979416099395512,0.9944100362735152,,,,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,,,,,8513.901787888994,6967.413381018599,3410.5666439452234,2634.4107398742917
625,783666579,2023-01-01,ICN,FRA,KE513,8546.290590793822,10244.123380405388,43.749671,43.43721297446068,1.198663124261243,1.198663124261243,0.9928580485659122,1.1979416099395512,1.1979416099395512,0.9944100362735152,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8513.901787888994,6967.413381018599,3410.5666439452234,2634.4107398742917,8515.536931892668,6968.751226112514,3411.219772487599,2634.9147544322423
626,783674185,2023-01-01,ICN,FRA,LH8409,8546.290590793822,10237.253319677446,43.749671,43.61647377076876,1.1978592596307398,1.1978592596307398,0.996955469008413,,,,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,,,,,8519.167664481676,6971.721825503521,3412.6700026069598,2636.0338864944797
648,783802279,2023-01-02,ICN,FRA,LH8441,8546.290590793822,10253.85769174598,43.749671,43.44324851871772,1.1998021343659404,1.1998021343659404,0.9929960049006477,0.6868344175394273,0.6868344175394273,0.9321949465343535,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,4841.227888535716,3962.4983724568265,1943.5838307376357,1502.3507453293182,8523.911851558601,6975.603433111914,3414.5649818768898,2637.4962282497245
647,783784857,2023-01-02,ICN,FRA,LH8433,8546.290590793822,1502.5197204236813,43.749671,37.949970666712346,0.1758095754481149,0.1758095754481149,0.867434424060294,1.1978592596307398,1.1978592596307398,0.996955469008413,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8519.167664481676,6971.721825503521,3412.6700026069598,2636.0338864944797,1258.472757795039,1031.1532654871821,512.5174347656496,398.00718940499013
649,783803054,2023-01-02,ICN,FRA,LH713,8546.290590793822,10211.876903702963,43.749671,43.5349087463421,1.1948899695387534,1.1948899695387534,0.9950911115729784,0.8578236564815983,0.8578236564815983,0.9524619659897849,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,6053.056298650594,4953.994344369001,2427.626655914204,1875.8830819698421,8493.819492785426,6950.982412297499,3402.5451362987415,2628.220600616515
646,783782715,2023-01-02,ICN,FRA,OZ541,8546.290590793822,10303.357388137763,43.749671,43.35985195971539,1.2055940853727436,1.2055940853727436,0.9910897835029524,1.2015604128417685,1.2015604128417685,0.9918542415323972,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8533.841872558913,6983.7279957485325,3418.531348219629,2640.557044381924,8560.731588359875,7005.728672312956,3429.2719562923994,2648.845493712617
678,783971898,2023-01-03,ICN,FRA,LH8441,8546.290590793822,10228.642449350453,43.749671,43.68620623200801,1.1968517031668546,1.1968517031668546,0.9985493658228428,0.942090234745887,0.942090234745887,0.9631192523855833,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,6655.856433776882,5447.194454926871,2668.404209887942,2061.6893736209845,8515.777240135341,6968.94784194743,3411.3157592458947,2634.988826717271
677,783955108,2023-01-03,ICN,FRA,KE945,8546.290590793822,10220.18314081467,43.749671,43.52933528369082,1.1958618809222317,1.1958618809222317,0.9949637171829434,1.1992942485403708,1.1992942485403708,0.9944145686013018,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8523.497493528925,6975.264412905815,3414.3994740957187,2637.368507095691,8500.418301092177,6956.381437275749,3405.1809102985408,2630.254608290614
667,783951131,2023-01-03,ICN,FRA,OZ541,8546.290590793822,10340.038269815228,43.749671,43.456684862063305,1.2098861090627615,1.2098861090627615,0.993303123629508,1.203577249107256,1.203577249107256,0.9914720125176748,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8547.286050657367,6994.727777829086,3423.901380721454,2644.70105950602,8596.0354102588,7034.613617502986,3443.3734260622537,2659.727495633167
666,783948248,2023-01-03,ICN,FRA,KE517,8546.290590793822,10266.470965928982,43.749671,43.57360574121661,1.2012780114203183,1.2012780114203183,0.995975620964478,1.1983023671003972,1.1983023671003972,0.9936340424197136,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8514.711291239646,6968.075701941861,3410.889985340399,2634.6602600832284,8541.13105994593,6989.691876337913,3421.4428815906936,2642.8038535622964
683,784119680,2023-01-04,ICN,FRA,OZ541,8546.290590793822,10278.425032156769,43.749671,43.43912323611975,1.2026767546646289,1.2026767546646289,0.9929017120178972,1.2056802024257578,1.2056802024257578,0.9920823828882859,7122.121608796513,5828.684143579298,2854.6453565008974,2205.410315352888,8563.520456436574,7008.01047346662,3430.385918938945,2649.7051306055773,8544.065018636267,6992.092387993643,3422.614798044845,2643.7082129881537
