,flight_id,date,origin,destination,airline_code,GCD,actual_distance,mean_latitude,actual_latitude,geta,zeta_1,zeta_2,z_score_dist,rolling_geta_30D,rolling_zeta_1_30D,rolling_zeta_2_30D,pre_footprint_first_30D,pre_footprint_business_30D,pre_footprint_premium_economy_30D,pre_footprint_economy_30D,post_footprint_first_30D,post_footprint_business_30D,post_footprint_premium_economy_30D,post_footprint_economy_30D,actual_footprint_first_30D,actual_footprint_business_30D,actual_footprint_premium_economy_30D,actual_footprint_economy_30D
49,786847030,2023-01-19,PVG,LHR,MU551,9244.034182063437,9520.885705174842,41.307,52.857593333220905,1.0299492102321075,1.0299492102321075,1.2796279887965938,-0.17687982723279738,1.0339570335394614,1.0339570335394614,1.2950278403278581,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9342.038612444565,7645.198313758802,3742.0723758481518,2890.505601038574,9160.560891959056,7496.716542452476,3669.5843999951335,2834.567155945739
65,787237605,2023-01-21,PVG,LHR,CA849,9244.034182063437,9534.609776652014,41.307,52.888915406744886,1.031433851159096,1.031433851159096,1.2803862639926618,-0.17037341891712968,1.022613866919727,1.022613866919727,1.2870488377252742,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9163.874594413704,7499.427753551733,3670.9079981915074,2835.588567071675,9180.674201934944,7513.172886978201,3677.6182959684566,2840.766855185466
74,787509468,2023-01-22,PVG,LHR,MU7551,9244.034182063437,9447.339048539669,41.307,52.63223739366461,1.0219930889990338,1.0219930889990338,1.2741723532007798,-0.21174736483755202,1.0331554688779907,1.0331554688779907,1.2919478700216052,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9304.886853774035,7614.8014203010935,3727.2327813337292,2879.0539936074583,9041.143268350846,7399.011214045757,3621.8852014743534,2797.758030486958
93,788091518,2023-01-26,PVG,LHR,MU551,9244.034182063437,9460.748861409662,41.307,54.10291308515556,1.023443734096822,1.023443734096822,1.3097758996091595,-0.20538994254388374,1.0312950722314977,1.0312950722314977,1.288985283884801,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9259.803970002122,7577.91542448771,3709.2252430998346,2865.1577069902633,9394.634532257516,7688.231339060307,3763.080859727984,2906.717695640009
112,788624777,2023-01-28,PVG,LHR,MU7551,9244.034182063437,9529.993695182551,41.307,52.87373276121092,1.0309344932620408,1.0309344932620408,1.280018707754398,-0.1725618446265608,1.0301734524979727,1.0301734524979727,1.2919553718454235,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9278.177006615664,7592.947908989701,3716.564018519904,2870.8209867418814,9172.873899445443,7506.790821304971,3674.5026069627065,2838.362500582878
105,788493367,2023-01-28,PVG,LHR,CA849,9244.034182063437,9525.013142575524,41.307,52.109342104765766,1.0303957076508092,1.0303957076508092,1.2615135958739625,-0.17492306148213316,1.0270238590394114,1.0270238590394114,1.283717550858968,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9172.186516611691,7506.228417168268,3674.228044387635,2838.150622635543,9005.442233150763,7369.80127615478,3607.625072073411,2786.7535920801147
121,788784246,2023-01-29,PVG,LHR,MU7551,9244.034182063437,9476.249256580726,41.307,52.91676358536532,1.0251205339512772,1.0251205339512772,1.2810604397648175,-0.1980414016823109,1.0302685825934812,1.0302685825934812,1.2904632888340455,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9264.710390572942,7581.92976859111,3711.1850235892025,2866.67005537644,9130.795575487318,7472.363101702872,3657.6951855180696,2825.3923353855585
138,789371013,2023-02-02,PVG,LHR,MU551,9244.034182063437,9494.832596346094,41.307,52.657112430753735,1.0271308402092771,1.0271308402092771,1.2747745522733127,-0.18923127586918168,1.0296965771887918,1.0296965771887918,1.2894185278263535,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9249.612446184172,7569.576905000297,3705.154424211188,2862.0162855861518,9091.826995757081,7440.479718287223,3642.1298948644576,2813.3807135084826
157,789894251,2023-02-04,PVG,LHR,MU7551,9244.034182063437,9538.704788529843,41.307,52.69822961662757,1.0318768408535497,1.0318768408535497,1.2757699570684768,-0.1684320256958117,1.0294400034908404,1.0294400034908404,1.2879541302710493,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9233.419043127578,7556.327757044902,3698.686263785741,2857.0248531098996,9142.653390333242,7482.064950213171,3662.43157406164,2829.0473720639184
153,789765339,2023-02-04,PVG,LHR,CA849,9244.034182063437,9518.113933288723,41.307,52.66586149986769,1.0296493658317596,1.0296493658317596,1.2749863582411622,-0.17819388914794937,1.028147808576544,1.028147808576544,1.2763162325306328,7664.676975504148,6272.811519898459,3072.08076745661,2373.477937379382,9114.609889194207,7459.120267463053,3651.230107413491,2820.4032815139603,9115.950713999413,7460.217305940041,3651.7656755032986,2820.8165755235195
